Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
3530,215790,"Casual, Simulation","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '19 Sep, 2012'}",2012-09-19 00:00:00,4214,1.0,1,999
3531,214870,Action,"Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '31 Oct, 2012'}",2012-10-31 00:00:00,4172,1.0,2,1999
3532,204960,"Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': ''}",-1,2457,1.0,0,0
3533,105000,"Adventure, Indie","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '11 Dec, 2012'}",2012-12-11 00:00:00,4131,0.0,1,999
3534,233630,,,,-1,2457,,0,0
3535,234330,"Casual, RPG, Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer","{'coming_soon': False, 'date': '5 Dec, 2013'}",2013-12-05 00:00:00,3772,1.0,228,0
3536,250600,"Casual, Free to Play, Indie","Single-player, Steam Achievements, Partial Controller Support","{'coming_soon': False, 'date': '14 Feb, 2014'}",2014-02-14 00:00:00,3701,0.0,2,0
3537,203250,,,,-1,2457,,0,1499
3538,208730,"Action, RPG","Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '7 Jun, 2012'}",2012-06-07 00:00:00,4318,0.0,2,1499
3539,232750,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '26 Apr, 2013'}",2013-04-26 00:00:00,3995,0.0,1,499
3540,238170,,,,-1,2457,,0,99
3541,242110,"Action, Casual, Indie, Racing","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '24 Jun, 2013'}",2013-06-24 00:00:00,3936,1.0,1,344
3542,225640,RPG,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 Dec, 2012'}",2012-12-21 00:00:00,4121,0.0,32,1499
3543,246960,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '26 Sep, 2013'}",2013-09-26 00:00:00,3842,0.0,0,499
3544,249680,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '20 Sep, 2013'}",2013-09-20 00:00:00,3848,0.0,4,99
3545,245280,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2013'}",2013-10-24 00:00:00,3814,0.0,10,1999
3546,252890,"Adventure, Casual","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2013'}",2013-10-29 00:00:00,3809,0.0,1,999
3547,253470,,,,-1,2457,,1,899
3548,208610,,,,-1,2457,,0,0
3549,227600,"Adventure, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2013'}",2013-09-04 00:00:00,3864,0.0,12,1499
3550,243800,"Action, Racing, Sports","Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2013'}",2013-10-08 00:00:00,3830,1.0,3,2499
3551,231330,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '15 Nov, 2013'}",2013-11-15 00:00:00,3792,1.0,1,1999
3552,256350,,,,-1,2457,,0,0
3553,257790,"Action, Indie, Racing, Simulation, Sports","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '7 Mar, 2014'}",2014-03-07 00:00:00,3680,1.0,1,699
3554,259550,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '14 Nov, 2013'}",2013-11-14 00:00:00,3793,0.0,4,119
3555,260250,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '28 Oct, 2013'}",2013-10-28 00:00:00,3810,0.0,0,499
3556,247830,,,,-1,2457,,0,0
3557,263620,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '10 Mar, 2014'}",2014-03-10 00:00:00,3677,0.0,0,999
3558,263680,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '3 Jan, 2014'}",2014-01-03 00:00:00,3743,0.0,0,499
3559,228940,,,,-1,2457,,0,0
3560,272060,"Adventure, Indie","Single-player, Family Sharing","{'coming_soon': False, 'date': '30 Jan, 2014'}",2014-01-30 00:00:00,3716,0.0,1,0
3561,275830,"Casual, Strategy","Single-player, Family Sharing","{'coming_soon': False, 'date': '18 Feb, 2014'}",2014-02-18 00:00:00,3697,0.0,1,699
3562,277110,"Adventure, Casual","Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Mar, 2014'}",2014-03-06 00:00:00,3681,0.0,1,799
3563,277270,"Adventure, Casual","Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Mar, 2014'}",2014-03-06 00:00:00,3681,0.0,0,799
3564,282530,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '27 Mar, 2014'}",2014-03-27 00:00:00,3660,0.0,4,1499
3565,284730,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '28 Oct, 2014'}",2014-10-28 00:00:00,3445,0.0,0,1499
3566,284790,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '15 May, 2014'}",2014-05-15 00:00:00,3611,0.0,1,0
3567,243930,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '8 May, 2014'}",2014-05-08 00:00:00,3618,0.0,5,699
3568,214320,,,,-1,2457,,0,999
3569,299860,"Action, Adventure, Indie, Massively Multiplayer","Single-player, Multi-player, MMO, Co-op, VR Support, Family Sharing","{'coming_soon': False, 'date': '5 Jun, 2014'}",2014-06-05 00:00:00,3590,1.0,0,0
3570,304350,"Casual, Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,0,699
3571,306480,"Casual, Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,0,399
3572,239250,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '25 Feb, 2014'}",2014-02-25 00:00:00,3690,0.0,10,3999
3573,307770,"Casual, Indie, Simulation, Strategy","Single-player, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,0,399
3574,307900,"Casual, Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,0,399
3575,307920,"Casual, Indie, Simulation, Strategy","Single-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,1,399
3576,307990,"Casual, Indie, Simulation, Strategy","Single-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2014'}",2014-07-17 00:00:00,3548,0.0,0,99
3577,311850,Casual,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '3 Jul, 2014'}",2014-07-03 00:00:00,3562,0.0,0,134
3578,313240,"Action, Free to Play, Indie","Single-player, Full controller support, Steam Workshop, Includes level editor, Includes Source SDK","{'coming_soon': False, 'date': 'Jan 2016'}",-1,2457,0.0,3,0
3579,313810,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '27 Jul, 2015'}",2015-07-27 00:00:00,3173,0.0,0,1999
3580,258160,,,,-1,2457,,0,0
3581,249230,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '12 Aug, 2014'}",2014-08-12 00:00:00,3522,0.0,13,1499
3582,320670,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '30 Oct, 2014'}",2014-10-30 00:00:00,3443,0.0,0,499
3583,242640,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '7 Oct, 2014'}",2014-10-07 00:00:00,3466,0.0,16,1999
3584,272470,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '13 Jun, 2014'}",2014-06-13 00:00:00,3582,1.0,3,1499
