ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
241560,"Action, Massively Multiplayer, Racing","Single-player, Multi-player, MMO, In-App Purchases, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '2 Dec, 2014'}",1.0,4
12250,,"Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': ''}",0.0,0
1526180,"Adventure, Indie, Massively Multiplayer, RPG","Multi-player, PvP, LAN PvP, Co-op, LAN Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '12 Nov, 2021'}",1.0,0
672630,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '28 Jan, 2021'}",0.0,28
691020,"Violent, Gore, Action, Free to Play, Indie, Massively Multiplayer",Multi-player,"{'coming_soon': False, 'date': '22 Feb, 2018'}",1.0,0
1136380,"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '22 Aug, 2022'}",1.0,22
1179680,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '24 Jul, 2020'}",1.0,151
816180,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '26 Apr, 2018'}",0.0,0
1421230,Adventure,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2020'}",0.0,0
1449690,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2020'}",0.0,616
320240,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '10 Aug, 2018'}",0.0,92
914620,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Family Sharing","{'coming_soon': False, 'date': '14 Aug, 2018'}",0.0,137
1743830,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '20 Jul, 2023'}",1.0,8
40400,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2009'}",1.0,2
65560,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '25 Feb, 2011'}",0.0,0
729460,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '2 Nov, 2017'}",0.0,1
802200,"Action, Indie, Free to Play","Single-player, Full controller support, Steam Cloud, Steam Leaderboards","{'coming_soon': False, 'date': '22 Nov, 2019'}",0.0,2
321400,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats","{'coming_soon': False, 'date': '8 Feb, 2019'}",1.0,1
703940,Sports,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2017'}",1.0,1
822240,"Adventure, Free to Play, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '11 Dec, 2018'}",1.0,158
2237980,"Adventure, Casual, Indie",Single-player,"{'coming_soon': False, 'date': '17 Dec, 2022'}",0.0,5
298520,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '7 Aug, 2014'}",1.0,0
1238000,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards","{'coming_soon': False, 'date': '11 Jun, 2020'}",1.0,684
215550,"Violent, Gore, Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","{'coming_soon': False, 'date': '31 Oct, 2016'}",1.0,0
251270,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Apr, 2016'}",0.0,5
252610,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '21 Jul, 2016'}",1.0,95
253250,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '25 Jul, 2018'}",1.0,113
