ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados
477290,Indie,"Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '1 Jun, 2016'}",1,0,99,0,,01/06/2016 00:00,2868
670350,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '12 Jul, 2018'}",0,0,0,0,,12/07/2018 00:00,2097
41050,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Includes level editor, Remote Play Together, Family Sharing","{'date': '30 Aug, 2019'}",1,9,599,0,,30/08/2019 00:00,1683
201480,"Action, Indie, RPG","Single-player, Family Sharing","{'date': '24 Oct, 2011'}",0,0,499,0,,24/10/2011 00:00,4550
222520,"Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, Cross-Platform Multiplayer","{'date': '27 Feb, 2013'}",1,56,0,0,,27/02/2013 00:00,4058
311260,"RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing","{'date': '14 Jun, 2022'}",1,318,1199,0,,14/06/2022 00:00,664
297210,"Casual, Free to Play, Indie, RPG, Strategy",Single-player,"{'date': '5 May, 2014'}",0,0,0,0,,05/05/2014 00:00,3626
39650,"Simulation, Strategy","Single-player, Family Sharing","{'date': '24 Jun, 2010'}",0,13,249,0,,24/06/2010 00:00,5037
39660,"Simulation, Strategy","Single-player, Family Sharing","{'date': '24 Jun, 2010'}",0,5,249,0,,24/06/2010 00:00,5037
39680,"Simulation, Strategy","Single-player, Steam Cloud, Family Sharing","{'date': '28 Jul, 2010'}",0,100,249,0,,28/07/2010 00:00,5003
345790,"Casual, Indie, Simulation","Single-player, Family Sharing","{'date': '26 Jan, 2015'}",0,0,0,0,,26/01/2015 00:00,3360
352160,"Action, Free to Play, Indie","Single-player, Full controller support","{'date': '23 Jun, 2015'}",0,0,0,0,,23/06/2015 00:00,3212
380360,"Action, Casual, Free to Play, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards","{'date': '17 Jul, 2015'}",0,20,0,0,,17/07/2015 00:00,3188
2700,"Simulation, Strategy","Single-player, Family Sharing","{'date': '12 Mar, 2008'}",0,61,0,0,,12/03/2008 00:00,5871
1615290,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '29 Apr, 2022'}",0,18,499,0,,29/04/2022 00:00,710
1623880,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '29 Jun, 2023'}",0,11,2999,0,,29/06/2023 00:00,284
1150530,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '17 Oct, 2023'}",1,85,2499,0,,17/10/2023 00:00,174
340540,"Action, Adventure, Massively Multiplayer, Free to Play","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Family Sharing","{'date': '12 Mar, 2015'}",1,0,0,0,,12/03/2015 00:00,3315
1372810,"Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '1 Mar, 2021'}",1,66,999,0,,01/03/2021 00:00,1134
