ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased
348270,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '27 Feb, 2015'}",0.0,0,799,0
348340,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '30 Jul, 2015'}",0.0,0,199,0
348450,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing","{'date': '9 Feb, 2015'}",0.0,0,499,0
348730,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'date': '30 Apr, 2015'}",0.0,0,499,0
348650,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing","{'date': '6 Feb, 2015'}",1.0,0,999,0
348800,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","{'date': '20 Feb, 2017'}",0.0,0,0,0
348840,"Indie, Strategy","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together","{'date': '2 Jun, 2015'}",1.0,0,0,0
348870,"Adventure, Casual","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '26 Feb, 2015'}",0.0,0,1099,0
349140,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '1 Jul, 2015'}",0.0,1,799,0
349220,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '27 Aug, 2015'}",0.0,5,999,0
349250,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing","{'date': '19 Apr, 2018'}",0.0,0,1499,0
349260,"Action, Indie","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '19 Feb, 2015'}",1.0,0,999,0
349690,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '6 Mar, 2015'}",0.0,0,499,0
349840,"Indie, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud","{'date': '13 Oct, 2015'}",1.0,0,0,0
349950,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '11 Feb, 2015'}",0.0,0,199,0
350070,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '22 Apr, 2015'}",0.0,3,799,0
346510,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '12 Feb, 2015'}",0.0,0,0,0
350740,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '19 Jan, 2016'}",1.0,1,799,0
350970,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '24 Aug, 2015'}",0.0,0,999,0
351050,"Simulation, Sports","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '8 Jul, 2015'}",1.0,0,999,0
351060,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '26 Oct, 2015'}",0.0,0,99,0
351090,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '18 May, 2015'}",0.0,14,999,0
351240,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '27 Mar, 2015'}",0.0,0,79,0
