ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
990050,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '16 May, 2019'}",0,4,2999,0,16/05/2019 00:00,1789
1020730,"Indie, RPG","Single-player, Steam Cloud, Family Sharing",,0,1,899,0,-1,1398
1031460,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,1999,0,-1,1398
1032590,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,2,799,0,-1,1398
1042170,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing",,0,0,499,0,-1,1398
1077970,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,0,1999,0,-1,1398
1094530,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,2,2999,0,-1,1398
1109570,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,1,3499,0,-1,1398
1116880,"Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,8,1299,0,-1,1398
1143810,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,130,999,0,-1,1398
1161190,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,1019,0,-1,1398
1163870,"Action, Indie","Single-player, Family Sharing",,0,40,1599,0,-1,1398
1167700,"Casual, Indie","Single-player, Steam Achievements, Family Sharing",,0,0,999,0,-1,1398
1184050,Strategy,"Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing",,0,54,3999,0,-1,1398
1200110,Adventure,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,1,3999,0,-1,1398
1380410,"Action, Adventure, Casual, RPG, Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Steam Cloud",,1,89,0,1,-1,1398
1386650,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Partial Controller Support, Family Sharing",,1,0,699,0,-1,1398
