ID del juego,Repeticiones,Minutos Totales
638650,8,1263
644560,86,92883
1674470,10,13919
2426960,11,24159
527450,17,2513
359840,13,3142
40980,8,5424
850190,2,621
962130,55,92322
1418100,8,4462
1677740,199,102960
493540,11,1537
2381590,19,5427
1676840,10,11336
2675290,9,674
346330,35,7803
993090,6,2292
1280770,26,4073
12100,31,39195
1682050,4,566
1057240,12,3116
433340,69,128500
979060,8,3668
1408720,66,21464
1545820,2,6332
1868140,41,52270
537800,40,10006
2343650,8,8387
1049800,42,14460
219990,54,229039
400170,9,5610
688430,1,15
1325200,24,97620
2071280,7,6939
263980,40,5894
296220,4,1505
350640,25,3993
734580,14,2418
839930,1,33
351100,9,1811
38700,10,944
104700,44,10432
50300,84,27531
200260,98,272853
13140,16,2151
107900,14,1814
214420,52,6278
209000,70,62273
260750,10,1283
260770,5,318
267490,8,1655
273750,1,59
247770,1,208
258760,16,1745
302060,3,129
299250,2,499
403980,1,18
299500,3,199
286690,136,85147
6850,12,2041
6900,12,641
203140,110,84334
205930,32,1404
247430,9,2181
24010,24,39535
324760,2,47
277950,25,6346
342200,25,42985
345890,1,443
345660,5,3092
354290,10,3406
359800,21,3291
360150,8,1280
355130,4,305
257400,12,923
352280,1,11
400250,27,7827
313160,22,53494
416670,1,3
422630,2,16
434110,6,367
435030,1,79
443580,4,90
449050,3,15
452710,3,23
502550,12,178
645630,51,69248
3480,11,2113
3483,6,432
246900,31,47300
236850,66,975319
263760,6,1577
213670,87,72831
337320,20,14902
387990,69,86944
388090,20,1657
427730,60,11482
471710,54,20038
555160,41,27925
604240,6,1596
738060,53,4482
799960,12,2067
897450,15,7564
1100260,5,5340
203770,115,481207
1206560,26,24882
1216320,3,1239
1343400,44,429549
1557740,26,6488
1485080,40,2860
1922560,14,30645
1294660,11,2347
204100,60,72044
235460,53,40756
203730,8,916
301860,8,1693
389270,10,1905
403040,3,488
420740,25,5403
448780,18,4208
714210,18,10964
805940,18,2453
1044450,6,997
1140440,22,2829
1184160,41,3452
1198730,14,3699
415660,11,1748
324810,68,14182
206500,39,19103
261430,18,6933
326460,50,52130
345220,14,2457
285920,12,21610
382310,14,41584
383120,22,75548
298630,45,31558
388060,8,823
410900,24,14654
623990,79,36631
454120,5,20566
355790,14,5572
585420,15,8109
